37,少林寺木人拳の和尚の死ぬとこ,しょうりんじもくじんけんのおしょうのしぬとこ,222,266,2019-11-25 05:05:47,2019-11-25 05:05:47,3
38,誇張しすぎたビートたけし,こちょうしすぎたびーとたけし,266,278,2019-11-25 05:05:47,2019-11-25 05:05:47,3
39,映画パルプフィクションのボス,えいがぱるぷふぃくしょんのぼす,278,289,2019-11-25 05:05:47,2019-11-25 05:05:47,3
40,Ｆ１レーサー鈴木あくりのリタイアのいいわけ,えふわんれーさーすずきあくりのりたいあのいいわけ,289,304,2019-11-25 05:05:47,2019-11-25 05:05:47,3
41,初代タイガーマスク佐山聡の覆面をつけてこなかった時の言い訳,しょだいたいがーますくさやまさとしのふくめんをつけてこなかったときのいいわけ,304,372,2019-11-25 05:05:47,2019-11-25 05:05:47,3
42,忍者ハットリ君のへそくりを出すところ,にんじゃはっとりくんのへそくりをだすところ,372,408,2019-11-25 05:05:47,2019-11-25 05:05:47,3
43,武田鉄也の思えば遠くにきたもんだの時のジョギングシーンのアドリブ,たけだてつやのおもえばとおくにきたもんだのときのじょぎんぐしーんのあどりぶ,408,426,2019-11-25 05:05:47,2019-11-25 05:05:47,3
44,ぴー子のものまね審査員時のリアクション,ぴーこのものまねしんさいんじのりあくしょん,426,442,2019-11-25 05:05:47,2019-11-25 05:05:47,3
45,アニメサムライジャイアンツのカネヤン,あにめさむらいじゃいあんつのかねやん,442,461,2019-11-25 05:05:47,2019-11-25 05:05:47,3
46,映画酔拳のライバル道場おやじの出ばやし,えいがすいけんのらいばるみちばおやじのでばやし,461,500,2019-11-25 05:05:47,2019-11-25 05:05:47,3
47,当時の武田信玄,とうじのたけだしんげん,500,514,2019-11-25 05:05:47,2019-11-25 05:05:47,3
48,三沢光時のフェイスロック時の顔,みつさわみつときのふぇいすろっくじのかお,514,520,2019-11-25 05:05:47,2019-11-25 05:05:47,3
49,キャプテン青葉の監督,きゃぷてんあおばのかんとく,520,538,2019-11-25 05:05:47,2019-11-25 05:05:47,3
50,ガンダム黒い三連星のオルテガ,がんだむくろいさんれんせいのおるてが,538,570,2019-11-25 05:05:47,2019-11-25 05:05:47,3
51,赤いプルトニウム,あかいぷるとにうむ,130,183,2019-11-25 05:05:47,2019-11-25 05:05:47,4
52,砂漠の太陽のまね,さばくのたいようのまね,183,220,2019-11-25 05:05:47,2019-11-25 05:05:47,4
53,消臭力のＣＭ,しょうしゅうりきのしーえむ,220,243,2019-11-25 05:05:47,2019-11-25 05:05:47,4
54,くまだまさしの謝り方,くまだまさしのあやまりかた,243,281,2019-11-25 05:05:47,2019-11-25 05:05:47,4
55,オテンキの江波戸,おてんきのえばと,281,322,2019-11-25 05:05:48,2019-11-25 05:05:48,4
56,ＪＩＮの坂本龍馬,じんのさかもとりょうま,322,348,2019-11-25 05:05:48,2019-11-25 05:05:48,4
57,Mステのタモリのゲストと会話しているとき,えむすてのたもりのげすととかいわしているとき,348,397,2019-11-25 05:05:48,2019-11-25 05:05:48,4
58,スティーブ・オースティンにスタナーをやられふっとぶスコット・ホール,すてぃーぶおーすてぃんにすたなーをやられふっとぶすこっとほーる,397,422,2019-11-25 05:05:48,2019-11-25 05:05:48,4
59,スティーブ・オースティンにスタナーをやられふっとぶザ・ロック,すてぃーぶおーすてぃんにすたなーをやられふっとぶざろっく,422,437,2019-11-25 05:05:48,2019-11-25 05:05:48,4
60,ファミコン フロントラインの歩き方,ふぁみこんふろんとらいんのあるきかた,437,471,2019-11-25 05:05:48,2019-11-25 05:05:48,4
61,ジャック・バウアーの警戒した部屋の入り,じゃっくばうあーのけいかいしたへやのはいり,471,498,2019-11-25 05:05:48,2019-11-25 05:05:48,4
62,ジャック・バウアーのくやしがり方,じゃっくばうあーのくやしがりかた,498,508,2019-11-25 05:05:48,2019-11-25 05:05:48,4
63,あぶない刑事の走り方,あぶないけいじのはしりかた,508,543,2019-11-25 05:05:48,2019-11-25 05:05:48,4
64,あしたのジョーのマンモス西,あしたのじょーのまんもすにし,543,552,2019-11-25 05:05:48,2019-11-25 05:05:48,4
65,布袋寅奉,ほていともやす,552,568,2019-11-25 05:05:48,2019-11-25 05:05:48,4
66,BE-BOP加藤ヒロシのどけや!,BE-BOPかとうひろしのどけや!,6,28,2019-11-25 05:05:48,2019-11-25 05:05:48,5
67,BE-BOP仲間トオルのボンタン狩られた時,BE-BOPなかまとおるのぼんたんかられたとき,28,45,2019-11-25 05:05:48,2019-11-25 05:05:48,5
68,BE-BOP中学生リョウ,BE-BOPちゅうがくせいりょう,45,54,2019-11-25 05:05:48,2019-11-25 05:05:48,5
69,ストリートファイターⅡのベガの頭の上に立つ技,すとりーとふぁいたー2のべがのあたまのうえにたつわざ,54,87,2019-11-25 05:05:48,2019-11-25 05:05:48,5
70,WWERAWのリックフレアーの手もみ,WWEろうのりっくふれあーのてもみ,87,117,2019-11-25 05:05:48,2019-11-25 05:05:48,5
71,つけ麺店主のタオルの巻き方,つけめんてんしゅのたおるのまきかた,117,141,2019-11-25 05:05:48,2019-11-25 05:05:48,5
72,ジェット・リーのゆれ,じぇっとりーのゆれ,141,157,2019-11-25 05:05:48,2019-11-25 05:05:48,5
73,ピー子のイケメンが出てきた時,ぴーこのいけめんがでてきたとき,157,166,2019-11-25 05:05:48,2019-11-25 05:05:48,5
74,流星のサドルの間奏の時の久保田俊信,りゅうせいのさどるのかんそうのときのくぼたとしのぶ,166,189,2019-11-25 05:05:48,2019-11-25 05:05:48,5
75,もしも憂歌団がAMEMIYAの冷し中華を歌ったら…,もしもゆうかだんがあめみやのひやしちゅうかをうたったら…,189,201,2019-11-25 05:05:48,2019-11-25 05:05:48,5
76,かんじんな所で噛むディック東郷,かんじんなところでかむでぃっくとうごう,201,215,2019-11-25 05:05:48,2019-11-25 05:05:48,5
77,新幹線の車掌の切符拝見,しんかんせんのしゃしょうのきっぷはいけん,215,238,2019-11-25 05:05:48,2019-11-25 05:05:48,5
78,文珍師匠の威張りすぎの歩き方,ぶんちんししょうのいばりすぎのあるきかた,238,255,2019-11-25 05:05:48,2019-11-25 05:05:48,5
79,長時間立ちっぱなしの警備員,ちょうじかんたちっぱなしのけいびいん,255,267,2019-11-25 05:05:48,2019-11-25 05:05:48,5
80,ファミコン スーパーチャイニーズの死ぬとこ,ふぁみこんすーぱーちゃいにーずのしぬとこ,267,278,2019-11-25 05:05:48,2019-11-25 05:05:48,5
81,バードマン(パーマン)のコケ方,ばーどまん(ぱーまん)のこけかた,51,90,2019-11-25 05:05:48,2019-11-25 05:05:48,6
82,PSP起動音を顔で表現,ぴーえすぴーきどうおんをかおでひょうげん,90,118,2019-11-25 05:05:48,2019-11-25 05:05:48,6
83,アニマル浜口,あにまるはまぐち,118,153,2019-11-25 05:05:48,2019-11-25 05:05:48,6
84,佐々木健介の外人かぶれのださいインタビュー＆馳浩,ささきけんすけのがいじんかぶれのださいいんたびゅー＆はせひろし,153,227,2019-11-25 05:05:48,2019-11-25 05:05:48,6
85,ホラーっぽいこわい音,ほらーっぽいこわいおと,227,244,2019-11-25 05:05:48,2019-11-25 05:05:48,6
86,矢沢栄吉のサンバリンズナイ,やざわえいきちのさんばりんずない,244,268,2019-11-25 05:05:48,2019-11-25 05:05:48,6
87,マイク・タイソンのサントリーDRYのCM,まいくたいそんのさんとりーどらいのしーえむ,268,288,2019-11-25 05:05:48,2019-11-25 05:05:48,6
88,爆笑Booing(ローカル番組)に出演した時のカウス師匠,ばくしょうBooing(ろーかるばんぐみ)にしゅつえんしたときのかうすししょう,288,363,2019-11-25 05:05:48,2019-11-25 05:05:48,6
89,あしたのジョーの力石徹,あしたのじょーのりきいしとおる,363,418,2019-11-25 05:05:48,2019-11-25 05:05:48,6
90,ありがちな落語のでばやし,ありがちならくごのでばやし,418,431,2019-11-25 05:05:48,2019-11-25 05:05:48,6
91,川田利明のストレッチプラム,かわたとしあきのすとれっちぷらむ,431,457,2019-11-25 05:05:48,2019-11-25 05:05:48,6
92,ケミストリー川畑の音程とらないと歌えない感じ,けみすとりーかわばたのおんていとらないとうたえないかんじ,457,486,2019-11-25 05:05:48,2019-11-25 05:05:48,6
93,長州力,ちょうしゅうりき,486,516,2019-11-25 05:05:48,2019-11-25 05:05:48,6
94,エスパー魔美のテレポーテーション,えすぱーまみのてれぽーてーしょん,516,532,2019-11-25 05:05:48,2019-11-25 05:05:48,6
95,スタン・ハンセンの左腕攻められた時の痛がり方,すたんはんせんのひだりうでせめられたときのいたがりかた,532,552,2019-11-25 05:05:48,2019-11-25 05:05:48,6
96,スーパージャンピングライガーボム(テンションMAXVer.),すーぱーじゃんぴんぐらいがーぼむ(てんしょんまっくすばーじょん),6,37,2019-11-25 05:05:48,2019-11-25 05:05:48,7
97,ジャンボ鶴田の試合後のアピール,じゃんぼつるたのしあいごのあぴーる,37,66,2019-11-25 05:05:48,2019-11-25 05:05:48,7
98,BIOHAZARD5の司令官マジン,BIOHAZARD5のしれいかんまじん,66,110,2019-11-25 05:05:48,2019-11-25 05:05:48,7
99,ジャックバウアーの電話のとり方,じゃっくばうあーのでんわのとりかた,110,118,2019-11-25 05:05:48,2019-11-25 05:05:48,7
100,ザ・グレート・カブキの平成維新軍入りした時の記者会見,ざぐれーとかぶきのへいせいいしんぐんいりしたときのきしゃかいけん,118,148,2019-11-25 05:05:48,2019-11-25 05:05:48,7
101,メタルギア・ソリッド スネークの歩き方＆敵兵士＆ＡＩ兵器,めたるぎあそりっどすねーくのあるきかた＆てきへいし＆えーあいへいき,148,214,2019-11-25 05:05:48,2019-11-25 05:05:48,7
102,NOFEARのカメラマンに意地悪された時のアピール,NOFEARのかめらまんにいじわるされたときのあぴーる,214,240,2019-11-25 05:05:48,2019-11-25 05:05:48,7
103,劇場版アニメストリートファイターⅡケンの吹き替え羽賀研二のアドリブ,げきじょうばんあにめすとりーとふぁいたー2けんのふきかえはがけんじのあどりぶ,240,278,2019-11-25 05:05:48,2019-11-25 05:05:48,7
104,相棒の捜査一課 いたみ刑事,あいぼうのそうさいっかいたみけいじ,278,300,2019-11-25 05:05:48,2019-11-25 05:05:48,7
105,Mr.マリックの登場音,みすたーまりっくのとうじょうおん,300,316,2019-11-25 05:05:48,2019-11-25 05:05:48,7
106,髭男爵(雰囲気),ひげだんしゃく(ふんいき),316,333,2019-11-25 05:05:48,2019-11-25 05:05:48,7
107,不機嫌なトミーズ雅,ふきげんなとみーずまさ,333,358,2019-11-25 05:05:48,2019-11-25 05:05:48,7
108,？？？,？？？,358,368,2019-11-25 05:05:48,2019-11-25 05:05:48,7
109,やばい？のマネ　※モザイク,やばい？のまね,368,390,2019-11-25 05:05:48,2019-11-25 05:05:48,7
110,ファイヤープロレスの氷川光秀,ふぁいやーぷろれすのひかわみつひで,390,415,2019-11-25 05:05:48,2019-11-25 05:05:48,7
111,キンタロー。,きんたろー。,200,265,2019-11-25 05:05:48,2019-11-25 05:05:48,8
112,鹿賀丈史のスーパーオーバーリアクション,かがたけしのすーぱーおーばーりあくしょん,265,316,2019-11-25 05:05:48,2019-11-25 05:05:48,8
113,アンガールズ田中のまねをしてる芸人のまね,あんがーるずたなかのまねをしてるげいにんのまね,316,380,2019-11-25 05:05:48,2019-11-25 05:05:48,8
114,誇張しすぎた五木ひろし,こちょうしすぎたいつきひろし,380,468,2019-11-25 05:05:48,2019-11-25 05:05:48,8
115,半沢直樹,はんざわなおき,468,508,2019-11-25 05:05:48,2019-11-25 05:05:48,8
116,もしも美輪明宏がサイレンだったら,もしもみわあきひろがさいれんだったら,508,525,2019-11-25 05:05:48,2019-11-25 05:05:48,8
117,日本のPにこれウケるからライブで言ってみなよって言われそのまま鵜呑みにして言ってしまうハンリュウスター,にほんのぷろでゅーさーにこれうけるかららいぶでいってみなよっていわれそのままうのみにしていってしまうはんりゅうすたー,525,558,2019-11-25 05:05:48,2019-11-25 05:05:48,8
118,スーパーファミコンFMWのターザン後藤,すーぱーふぁみこんえふえむだぶりゅーのたーざんごとう,558,596,2019-11-25 05:05:48,2019-11-25 05:05:48,8
119,セコンドの北斗晶に負け惜しみを言うパワー・ウォーリアー,せこんどのほくとあきらにまけおしみをいうぱわーうぉーりあー,596,652,2019-11-25 05:05:48,2019-11-25 05:05:48,8
120,恥も外聞もなくオリラジのまねをあえてやる,はじもがいぶんもなくおりらじのまねをあえてやる,652,695,2019-11-25 05:05:48,2019-11-25 05:05:48,8
121,やりつくされた武田鉄矢のまねをあえてやる,やりつくされたたけだてつやのまねをあえてやる,695,738,2019-11-25 05:05:48,2019-11-25 05:05:48,8
122,何回も歌ってるか飽きたのか知らねえけど持ち歌アレンジしすぎな桑名正博,なんかいもうたってるかあきたのかしらねえけどもちうたあれんじしすぎなくわなまさひろ,8,50,2019-11-25 05:05:48,2019-11-25 05:05:48,9
123,何回も歌ってるか飽きたのか知らねえけど持ち歌アレンジしすぎなやしきたかじん,なんかいもうたってるかあきたのかしらねえけどもちうたあれんじしすぎなやしきたかじん,50,93,2019-11-25 05:05:48,2019-11-25 05:05:48,9
124,何回も歌ってるか飽きたのか知らねえけど持ち歌アレンジしすぎな欧陽菲菲,なんかいもうたってるかあきたのかしらねえけどもちうたあれんじしすぎなおーやんふぃーふぃー,93,127,2019-11-25 05:05:48,2019-11-25 05:05:48,9
125,出オチのインパクトだけにすべてをかけるダンディ坂野,でおちのいんぱくとだけにすべてをかけるだんでぃさかの,127,163,2019-11-25 05:05:48,2019-11-25 05:05:48,9
126,リングの魂に乱入したターザン山本,りんぐのたましいにらんにゅうしたたーざんやまもと,163,198,2019-11-25 05:05:48,2019-11-25 05:05:48,9
127,24ローガン大統領の首,24ろーがんだいとうりょうのくび,198,227,2019-11-25 05:05:48,2019-11-25 05:05:48,9
